nivel,tipo,curso,semestre,matriculados
Doutorado,Acadêmico,Ciência Florestal,2010-2,4
Doutorado,Acadêmico,Ciência Florestal,2011-1,6
Doutorado,Acadêmico,Ciência Florestal,2011-2,10
Doutorado,Acadêmico,Ciência Florestal,2012-1,8
Doutorado,Acadêmico,Ciência Florestal,2012-2,6
Doutorado,Acadêmico,Ciência Florestal,2013-1,7
Doutorado,Acadêmico,Ciência Florestal,2013-2,13
Doutorado,Acadêmico,Ciência Florestal,2014-1,5
Doutorado,Acadêmico,Ciência Florestal,2014-2,10
Doutorado,Acadêmico,Ciência Florestal,2015-1,11
Doutorado,Acadêmico,Ciência Florestal,2015-2,3
Doutorado,Acadêmico,Ciência Florestal,2016-1,8
Doutorado,Acadêmico,Ciência Florestal,2016-2,5
Doutorado,Acadêmico,Ciência Florestal,2017-1,17
Doutorado,Acadêmico,Ciência Florestal,2017-2,8
Doutorado,Acadêmico,Ciência Florestal,2018-1,8
Doutorado,Acadêmico,Ciência Florestal,2018-2,10
Doutorado,Acadêmico,Ciência Florestal,2019-1,10
Doutorado,Acadêmico,Ciência Florestal,2019-2,6
Doutorado,Acadêmico,Ciência Florestal,2020-1,8
Doutorado,Acadêmico,Ciência Florestal,2020-2,2
Doutorado,Acadêmico,Ciência Florestal,2021-1,5
Doutorado,Acadêmico,Ciência Florestal,2021-2,7
Doutorado,Acadêmico,Ciência Florestal,2022-1,4
Doutorado,Acadêmico,Ciência Florestal,2022-2,8
Doutorado,Acadêmico,Ciência Florestal,2023-1,4
Doutorado,Acadêmico,Ciência Florestal,2023-2,9
Doutorado,Acadêmico,Ciência Florestal,2024-1,6
Doutorado,Acadêmico,Ecologia,2010-1,0
Doutorado,Acadêmico,Ecologia,2010-2,0
Doutorado,Acadêmico,Ecologia,2011-1,0
Doutorado,Acadêmico,Ecologia,2011-2,3
Doutorado,Acadêmico,Ecologia,2012-1,1
Doutorado,Acadêmico,Ecologia,2012-2,2
Doutorado,Acadêmico,Ecologia,2013-1,0
Doutorado,Acadêmico,Ecologia,2013-2,0
Doutorado,Acadêmico,Ecologia,2014-1,4
Doutorado,Acadêmico,Ecologia,2014-2,0
Doutorado,Acadêmico,Ecologia,2015-1,3
Doutorado,Acadêmico,Ecologia,2015-2,4
Doutorado,Acadêmico,Ecologia,2016-1,3
Doutorado,Acadêmico,Ecologia,2016-2,0
Doutorado,Acadêmico,Ecologia,2017-1,4
Doutorado,Acadêmico,Ecologia,2017-2,0
Doutorado,Acadêmico,Ecologia,2018-1,1
Doutorado,Acadêmico,Ecologia,2018-2,1
Doutorado,Acadêmico,Ecologia,2019-1,3
Doutorado,Acadêmico,Ecologia,2019-2,4
Doutorado,Acadêmico,Ecologia,2020-1,7
Doutorado,Acadêmico,Ecologia,2020-2,3
Doutorado,Acadêmico,Ecologia,2021-1,4
Doutorado,Acadêmico,Ecologia,2021-2,3
Doutorado,Acadêmico,Ecologia,2022-1,6
Doutorado,Acadêmico,Ecologia,2022-2,2
Doutorado,Acadêmico,Ecologia,2023-1,2
Doutorado,Acadêmico,Ecologia,2023-2,3
Doutorado,Acadêmico,Ecologia,2024-1,7
Doutorado,Acadêmico,Economia Aplicada,2010-1,2
Doutorado,Acadêmico,Economia Aplicada,2010-2,3
Doutorado,Acadêmico,Economia Aplicada,2011-1,4
Doutorado,Acadêmico,Economia Aplicada,2011-2,4
Doutorado,Acadêmico,Economia Aplicada,2012-1,10
Doutorado,Acadêmico,Economia Aplicada,2012-2,6
Doutorado,Acadêmico,Economia Aplicada,2013-1,5
Doutorado,Acadêmico,Economia Aplicada,2013-2,9
Doutorado,Acadêmico,Economia Aplicada,2014-1,12
Doutorado,Acadêmico,Economia Aplicada,2014-2,3
Doutorado,Acadêmico,Economia Aplicada,2015-1,5
Doutorado,Acadêmico,Economia Aplicada,2015-2,5
Doutorado,Acadêmico,Economia Aplicada,2016-1,7
Doutorado,Acadêmico,Economia Aplicada,2016-2,3
Doutorado,Acadêmico,Economia Aplicada,2017-1,8
Doutorado,Acadêmico,Economia Aplicada,2017-2,1
Doutorado,Acadêmico,Economia Aplicada,2018-1,10
Doutorado,Acadêmico,Economia Aplicada,2018-2,1
Doutorado,Acadêmico,Economia Aplicada,2019-1,3
Doutorado,Acadêmico,Economia Aplicada,2019-2,5
Doutorado,Acadêmico,Economia Aplicada,2020-1,6
Doutorado,Acadêmico,Economia Aplicada,2020-2,2
Doutorado,Acadêmico,Economia Aplicada,2021-1,3
Doutorado,Acadêmico,Economia Aplicada,2021-2,4
Doutorado,Acadêmico,Economia Aplicada,2022-1,9
Doutorado,Acadêmico,Economia Aplicada,2022-2,1
Doutorado,Acadêmico,Economia Aplicada,2023-1,6
Doutorado,Acadêmico,Economia Aplicada,2023-2,4
Doutorado,Acadêmico,Economia Aplicada,2024-1,7
Doutorado,Acadêmico,Economia Doméstica,2010-1,0
Doutorado,Acadêmico,Economia Doméstica,2010-2,0
Doutorado,Acadêmico,Economia Doméstica,2011-1,0
Doutorado,Acadêmico,Economia Doméstica,2011-2,0
Doutorado,Acadêmico,Economia Doméstica,2012-1,0
Doutorado,Acadêmico,Economia Doméstica,2012-2,0
Doutorado,Acadêmico,Economia Doméstica,2013-1,0
Doutorado,Acadêmico,Economia Doméstica,2013-2,0
Doutorado,Acadêmico,Economia Doméstica,2014-1,0
Doutorado,Acadêmico,Economia Doméstica,2014-2,4
Doutorado,Acadêmico,Economia Doméstica,2015-1,11
Doutorado,Acadêmico,Economia Doméstica,2015-2,0
Doutorado,Acadêmico,Economia Doméstica,2016-1,10
